table1
Company,links,code,group
Alkyl Amines Chemicals Ltd.,//money.rediff.com/companies/Alkyl-Amines-Chemicals-Ltd/12070001,506767,B
Allahabad Bank,//money.rediff.com/companies/Allahabad-Bank/14030009,532480,A
Allcargo Logistics Ltd.,//money.rediff.com/companies/Allcargo-Logistics-Ltd/17110005,532749,B
Alliance Integrated Metaliks Ltd.,//money.rediff.com/companies/Alliance-Integrated-Metaliks-Ltd/14090510,534064,Z
Allied Computers International (Asia) Ltd.,//money.rediff.com/companies/Allied-Computers-International-Asia-Ltd/13010058,532919,XT
Allied Digital Services Ltd.,//money.rediff.com/companies/Allied-Digital-Services-Ltd/13240040,532875,T
Allied Herbals Ltd.,//money.rediff.com/companies/Allied-Herbals-Ltd/14060078,523030,Z
Allsec Technologies Ltd.,//money.rediff.com/companies/Allsec-Technologies-Ltd/13240027,532633,B
Almondz Global Securities Ltd.,//money.rediff.com/companies/Almondz-Global-Securities-Ltd/14090206,531400,B
Alna Trading & Exports Ltd.,//money.rediff.com/companies/Alna-Trading-Exports-Ltd/16610192,506120,P
Alok Industries Ltd.,//money.rediff.com/companies/Alok-Industries-Ltd/16010040,521070,T
Alora Trading Company Ltd.,//money.rediff.com/companies/Alora-Trading-Company-Ltd/11250637,539693,Z
Alpa Laboratories Ltd.,//money.rediff.com/companies/Alpa-Laboratories-Ltd/12540643,532878,B
Alpha Graphic India Ltd.,//money.rediff.com/companies/Alpha-Graphic-India-Ltd/17020387,531720,XD
Alpha Hi-Tech Fuel Ltd.,//money.rediff.com/companies/Alpha-Hi-Tech-Fuel-Ltd/15110015,531247,XT
Alphageo (India) Ltd.,//money.rediff.com/companies/Alphageo-India-Ltd/17020072,526397,B
Alphalogic Techsys Ltd.,//money.rediff.com/companies/Alphalogic-Techsys-Ltd/13192706,542770,MS
Alpine Housing Development Corporation Ltd.,//money.rediff.com/companies/Alpine-Housing-Development-Corporation-Ltd/11610120,526519,X
Alps Industries Ltd.,//money.rediff.com/companies/Alps-Industries-Ltd/17020322,530715,T
Alps Motor Finance Ltd.,//money.rediff.com/companies/Alps-Motor-Finance-Ltd/14060438,538423,XT
Alstone Textiles (India) Ltd.,//money.rediff.com/companies/Alstone-Textiles-India-Ltd/14094545,539277,XT
Alufluoride Ltd.,//money.rediff.com/companies/Alufluoride-Ltd/12080040,524634,X
